id,Տրվել է(օր),Տրվել.է.խանութ.,Սեռ,Տարիքային.խումբ,Համաձայն.է.ստանալ.SMS,Շրջանառություն,Կուտակում,Վճարում
BH105419,18.02.2019,BASIC CENTER Հանրապետության,Женский,,v,80100,837,600
BH105876,31.08.2018,COOLCLUB Դալմա,Женский,25-ից 45 տարեկան,v,84200,1072,
BH105995,10.12.2018,BASIC CENTER Ավան,Женский,,v,135400,29920,27900
BH105963,30.05.2018,BASIC CENTER Ավան,Женский,,v,290500,50020,45700
BH102848,19.01.2018,BASIC CENTER Հանրապետության,Женский,25-ից 45 տարեկան,v,167300,1634,2200
BH103209,16.06.2019,COOLCLUB Երևան Մոլլ,Женский,25-ից 45 տարեկան,v,252600,1200,
BH103365,15.07.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,95200,1017,
BH105958,12.05.2018,BASIC CENTER Ավան,Женский,,v,120300,19410,19400
BH105982,28.09.2018,BASIC CENTER Մետրոնոմ,Мужской,,v,37900,8910,8200
BH104195,10.10.2018,BASIC CENTER Հանրապետության,Женский,25-ից 45 տարեկան,v,58200,100,
BH105984,17.10.2018,BASIC CENTER Դալմա,Женский,,v,,30000,30000
BH105208,15.12.2018,COOLCLUB Դալմա,Женский,25-ից 45 տարեկան,v,69700,898,
BH105966,14.10.2018,BASIC SHOES Երևան Մոլ,Женский,,v,112000,25150,25100
BH105976,30.06.2018,BASIC CENTER Դալմա,Женский,,v,22900,5010,5000
BH106532,22.05.2020,BATA Դալմա,Женский,25-ից 45 տարեկան,v,240900,6070,
BH100608,19.01.2018,BASIC CENTER Ավան,Женский,25-ից 45 տարեկան,v,173700,1839,
BH107191,30.10.2019,BASIC CENTER Հանրապետության,Женский,45-ից բարձր,v,12900,487,
BH106754,03.02.2018,BASIC CENTER Դալմա,Женский,45-ից բարձր,v,162800,1426,3400
BH103750,19.01.2018,BATA Ավան,Женский,25-ից 45 տարեկան,v,,5088,4200
BH104437,19.06.2018,BATA Դալմա,Мужской,18-ից 25 տարեկան,v,279300,4449,4600
BH101171,25.03.2018,COOLCLUB Երևան Մոլլ,Мужской,25-ից 45 տարեկան,v,271200,8884,
BH105949,19.01.2018,BATA Պողոտա,Женский,18-ից 25 տարեկան,v,2309700,64280,64600
BH107131,11.02.2018,BASIC CENTER Հանրապետության,Женский,25-ից 45 տարեկան,v,39000,,
BH105077,17.11.2019,BASIC CENTER Ավան,Женский,25-ից 45 տարեկան,v,34200,1467,
BH104196,20.01.2018,BASIC CENTER Հանրապետության,Женский,25-ից 45 տարեկան,v,104800,100,100
BH105903,09.04.2018,BASIC CENTER Դալմա,Мужской,,v,228200,20195,20500
BH101398,30.11.2019,BASIC CENTER Ավան,Женский,25-ից 45 տարեկան,v,64000,1906,
BH101419,02.10.2019,BASIC CENTER Դալմա,Мужской,25-ից 45 տարեկան,v,80600,1624,1600
BH103880,19.01.2018,BASIC CENTER Դալմա,Мужской,25-ից 45 տարեկան,v,168100,3108,3300
BH106477,23.02.2018,BATA Դալմա,Женский,25-ից 45 տարեկան,v,376100,6371,4100
BH107248,01.12.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,94000,1581,
BH105997,27.07.2018,,Мужской,,v,,,
BH056821,04.11.2019,BASIC CENTER Աբովյան,Женский,45-ից բարձր,v,110300,,
BH104786,28.11.2019,BASIC CENTER Հանրապետության,Женский,45-ից բարձր,v,145800,2933,
BH056494,27.03.2018,BASIC CENTER Հանրապետության,Мужской,25-ից 45 տարեկան,v,626200,11454,57900
BH105946,09.03.2018,BASIC CENTER Ավան,Женский,,v,134100,26060,26000
BH058045,05.05.2019,BASIC CENTER Կոմիտաս,Мужской,25-ից 45 տարեկան,v,114700,2253,
BH107445,07.04.2019,COOLCLUB Երևան Մոլլ,Мужской,25-ից 45 տարեկան,v,109400,1586,
BH104487,13.05.2018,BATA Դալմա,Мужской,25-ից 45 տարեկան,v,58300,217,
BH100259,19.01.2018,BASIC CENTER Հանրապետության,Мужской,25-ից 45 տարեկան,v,354600,3676,800
BH105956,11.04.2018,BASIC CENTER Դալմա,Женский,,v,208400,45400,45400
BH105577,20.05.2020,BASIC CENTER Հանրապետության,Женский,25-ից 45 տարեկան,v,613600,6659,5700
BH100504,29.03.2019,BASIC SHOES Երևան Մոլ,Женский,Մինչև 18 տարեկան,v,226300,987,
BH057710,07.12.2019,COOLCLUB Երևան Մոլլ,Женский,,v,179200,4623,3600
BH057969,05.10.2018,BATA Դալմա,Женский,45-ից բարձր,v,528500,15382,15500
BH107627,14.06.2018,BASIC CENTER Դալմա,Мужской,25-ից 45 տարեկան,v,119700,795,
BH105987,27.03.2019,BASIC CENTER Ավան,Женский,,v,11500,1740,1700
BH105990,03.08.2018,BASIC CENTER Դալմա,Мужской,,v,17600,3775,3400
BH058547,19.01.2018,COOLCLUB Դալմա,Мужской,25-ից 45 տարեկան,v,9200,247,100
BH057323,06.02.2018,BASIC CENTER Հանրապետության,Женский,25-ից 45 տարեկան,v,42600,1631,
BH104127,17.05.2019,BASIC CENTER Հանրապետության,Мужской,25-ից 45 տարեկան,v,288200,8394,26700
BH104934,22.11.2018,BASIC CENTER Հանրապետության,Женский,25-ից 45 տարեկան,v,331600,5561,4600
BH104657,19.01.2018,BASIC CENTER Կոմիտաս,Мужской,45-ից բարձր,v,422400,,
BH104944,19.08.2018,BASIC CENTER Հանրապետության,Женский,25-ից 45 տարեկան,v,146500,457,
BH100709,09.01.2020,BASIC CENTER Շենգավիթ,Женский,25-ից 45 տարեկան,v,55300,1222,
BH058564,12.06.2019,COOLCLUB Դալմա,Женский,25-ից 45 տարեկան,v,334900,1201,3000
BH058946,31.05.2020,BASIC CENTER Հանրապետության,Женский,18-ից 25 տարեկան,v,,6776,2400
BH102965,18.02.2019,BASIC CENTER Հանրապետության,Женский,45-ից բարձր,,,2861,
BH105950,18.02.2018,BASIC CENTER Դալմա,Мужской,,v,51400,11950,11900
BH105974,31.07.2018,BASIC CENTER Կոմիտաս,Женский,,v,66600,6000,6000
BH105988,12.09.2018,COOLCLUB Դալմա,Женский,,v,134500,31050,28300
BH105573,05.10.2019,BASIC CENTER Հանրապետության,Женский,25-ից 45 տարեկան,v,389100,6295,5200
BH058921,22.03.2018,BASIC CENTER Հանրապետության,Женский,18-ից 25 տարեկան,v,583100,8413,6700
BH100833,16.05.2019,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,1861000,54078,53600
BH057173,09.07.2019,BASIC CENTER Հանրապետության,Женский,25-ից 45 տարեկան,v,759800,15396,12600
BH107696,06.08.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,111100,242,
BH101316,19.01.2018,BASIC CENTER Ավան,Женский,25-ից 45 տարեկան,v,244200,9719,9200
BH057526,24.06.2018,BASIC CENTER Ավան,Мужской,25-ից 45 տարեկան,v,867300,500,
BH105952,05.03.2018,BATA Դալմա,Мужской,,v,35500,7510,6900
BH059297,28.01.2019,BATA Ավան,Мужской,45-ից բարձր,v,676900,5055,4900
BH105323,16.08.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,257300,1198,
BH103573,11.09.2019,BATA Դալմա,Мужской,25-ից 45 տարեկան,v,,1509,
BH105271,19.01.2018,BATA Դալմա,Женский,25-ից 45 տարեկան,v,226100,1382,1000
BH107308,28.04.2018,BASIC CENTER Ավան,Мужской,25-ից 45 տարեկան,v,55200,945,
BH104120,12.03.2018,BASIC CENTER Հանրապետության,Женский,25-ից 45 տարեկան,v,24300,,
BH102140,19.02.2018,BASIC CENTER Հանրապետության,Женский,25-ից 45 տարեկան,v,80900,807,
BH105964,02.04.2018,,Мужской,,v,107600,2404,8400
BH106527,01.06.2019,BASIC CENTER Կոմիտաս,Женский,25-ից 45 տարեկան,v,343600,2256,
BH105960,08.04.2018,BASIC CENTER Մետրոնոմ,Женский,,v,51800,10570,8600
BH105975,08.07.2018,COOLCLUB Դալմա,Женский,,v,71400,24220,16000
BH105135,03.12.2018,BASIC SHOES Երևան Մոլ,Женский,25-ից 45 տարեկան,v,235200,6415,
BH108024,12.02.2019,COOLCLUB Երևան Մոլլ,Женский,25-ից 45 տարեկան,v,336200,8939,
BH104673,02.03.2018,BASIC CENTER Հանրապետության,Мужской,45-ից բարձր,v,571100,1819,
BH104999,07.02.2018,COOLCLUB Երևան Մոլլ,Женский,25-ից 45 տարեկան,v,288300,2653,4000
BH106837,22.05.2018,COOLCLUB Դալմա,Женский,45-ից բարձր,v,159500,5770,
BH105961,04.04.2018,BASIC SHOES Երևան Մոլ,Мужской,,v,60100,21450,21200
BH107622,18.05.2020,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,66400,592,
BH103401,22.06.2019,BASIC CENTER Կոմիտաս,Женский,25-ից 45 տարեկան,v,408500,5092,5200
BH104790,19.01.2018,COOLCLUB Երևան Մոլլ,Женский,25-ից 45 տարեկան,v,251200,1337,4000
BH107758,19.01.2018,BASIC CENTER Ավան,Мужской,25-ից 45 տարեկան,v,130800,774,700
BH106647,12.08.2018,BASIC CENTER Կոմիտաս,Женский,,v,337600,10314,5100
BH105993,06.09.2018,BASIC CENTER Դալմա,Женский,,v,81300,16005,18900
BH105947,19.01.2018,BATA Ավան,Женский,18-ից 25 տարեկան,v,1202467,66758,68800
BH105044,19.01.2018,BATA Դալմա,Женский,18-ից 25 տարեկան,v,68900,351,
BH105999,19.09.2018,BASIC CENTER Ավան,Женский,,v,159600,27186,23700
BH104875,19.01.2018,BASIC SHOES Երևան Մոլ,Мужской,25-ից 45 տարեկան,,53300,3141,900
BH107726,09.08.2019,BASIC CENTER Ավան,Женский,25-ից 45 տարեկան,v,96500,1711,
BH061117,19.01.2018,BASIC SHOES Երևան Մոլ,Женский,45-ից բարձր,v,135500,257,200
BH105970,16.07.2018,BATA Դալմա,Женский,,v,173900,34870,34800
BH058542,19.01.2018,COOLCLUB Դալմա,Женский,25-ից 45 տարեկան,v,123300,1669,1300
BH104499,04.06.2018,BATA Դալմա,Женский,45-ից բարձր,v,500100,7049,7000
BH107925,01.06.2018,COOLCLUB Դալմա,Мужской,25-ից 45 տարեկան,v,49900,869,
BH101938,16.12.2018,BASIC CENTER Հանրապետության,Мужской,25-ից 45 տարեկան,v,349900,15681,7800
BH058621,26.07.2018,BATA Դալմա,Женский,25-ից 45 տարեկան,v,1163500,71442,50700
BH105395,19.01.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,91500,677,
BH106570,16.08.2018,BASIC CENTER Դալմա,Мужской,18-ից 25 տարեկան,v,399600,3955,6100
BH106620,18.10.2019,BASIC CENTER Կոմիտաս,Мужской,,v,117000,2588,1800
BH104212,25.03.2018,BASIC CENTER Հանրապետության,Женский,18-ից 25 տարեկան,v,70000,1019,300
BH105953,20.02.2018,BASIC CENTER Մետրոնոմ,Женский,,v,80300,13680,13500
BH105962,27.03.2018,BASIC CENTER Մետրոնոմ,Женский,,v,80700,17670,17600
BH105967,14.05.2018,BASIC CENTER Դալմա,Мужской,,v,1900,570,
BH105977,28.05.2018,BASIC CENTER Դալմա,Женский,,v,364300,75562,75500
BH058270,24.05.2020,BASIC SHOES Երևան Մոլ,Женский,25-ից 45 տարեկան,v,608000,18980,17900
BH107184,26.06.2018,BASIC CENTER Հանրապետության,Мужской,25-ից 45 տարեկան,v,410400,12721,
BH105968,05.05.2018,BASIC CENTER Մետրոնոմ,Женский,,v,75900,13620,13600
BH107018,25.06.2018,BASIC CENTER Հանրապետության,Женский,45-ից բարձր,v,257700,4769,3400
BH061663,30.04.2019,COOLCLUB Երևան Մոլլ,Женский,25-ից 45 տարեկան,v,44000,527,
BH061815,29.07.2018,BASIC CENTER Կոմիտաս,Женский,25-ից 45 տարեկան,v,86600,712,1000
BH105862,29.06.2019,COOLCLUB Դալմա,Женский,25-ից 45 տարեկան,v,29900,499,
BH105930,12.02.2018,BASIC CENTER Դալմա,Женский,,v,,26460,36400
BH105944,16.05.2018,BATA Դալմա,Мужской,18-ից 25 տարեկան,v,287800,9270,9500
BH058093,26.07.2019,BASIC CENTER Կոմիտաս,Женский,18-ից 25 տարեկան,v,81000,1971,2500
BH058534,11.10.2018,COOLCLUB Դալմա,Женский,18-ից 25 տարեկան,v,567600,22237,20900
BH105809,30.12.2019,COOLCLUB Դալմա,Женский,25-ից 45 տարեկան,v,358700,1507,1500
BH105985,26.09.2018,BASIC CENTER Ավան,Женский,,v,62200,10230,7000
BH105996,24.09.2018,BASIC CENTER Մետրոնոմ,Женский,,v,11900,2670,2600
BH106818,02.09.2019,COOLCLUB Դալմա,Женский,18-ից 25 տարեկան,v,344300,2944,4500
BH108905,11.10.2018,BATA Դալմա,Женский,25-ից 45 տարեկան,v,895700,7448,8800
BH060129,20.06.2018,BASIC SHOES Երևան Մոլ,Женский,25-ից 45 տարեկան,v,227500,3018,4100
BH105954,19.03.2018,BASIC SHOES Երևան Մոլ,Мужской,,v,66100,10200,10200
BH059843,07.07.2018,BASIC CENTER Հանրապետության,Женский,45-ից բարձր,v,49300,237,
BH108747,05.08.2019,COOLCLUB Երևան Մոլլ,Женский,25-ից 45 տարեկան,v,166900,,
BH107329,20.03.2018,BASIC CENTER Ավան,Женский,25-ից 45 տարեկան,v,,12830,11300
BH105561,20.06.2018,BASIC CENTER Հանրապետության,Мужской,45-ից բարձր,v,1070800,15985,22000
BH105991,20.12.2019,BASIC CENTER Դալմա,Женский,18-ից 25 տարեկան,v,279200,10680,7100
BH109755,13.05.2018,COOLCLUB Երևան Մոլլ,Женский,18-ից 25 տարեկան,v,64300,2093,
BH102237,24.02.2018,BASIC CENTER Ավան,Женский,45-ից բարձր,v,,1284,900
BH104060,13.03.2019,BASIC CENTER Ավան,Мужской,25-ից 45 տարեկան,v,147200,2083,
BH107680,03.02.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,171200,3168,3400
BH108975,19.01.2018,BATA Դալմա,Женский,25-ից 45 տարեկան,v,,2381,
BH109507,10.06.2019,BASIC CENTER Կոմիտաս,Женский,,v,365300,3699,5900
BH103041,25.02.2020,BASIC SHOES Երևան Մոլ,Женский,25-ից 45 տարեկան,v,68000,657,
BH107940,26.07.2018,COOLCLUB Դալմա,Женский,25-ից 45 տարեկան,v,29200,400,
BH105972,24.05.2018,BASIC CENTER Հանրապետության,Женский,,v,396600,55888,55800
BH105986,21.07.2018,BASIC CENTER Ավան,Женский,,v,232600,29224,29200
BH109346,19.01.2018,COOLCLUB Երևան Մոլլ,Женский,25-ից 45 տարեկան,v,198900,4090,3900
BH105959,01.05.2018,BASIC CENTER Հանրապետության,Женский,,v,19600,4110,4100
BH106634,03.06.2018,BASIC CENTER Կոմիտաս,Мужской,25-ից 45 տարեկան,v,331900,2725,
BH109766,20.04.2018,COOLCLUB Երևան Մոլլ,Женский,25-ից 45 տարեկան,v,,971,
BH109300,28.12.2019,BASIC SHOES Երևան Մոլ,Мужской,25-ից 45 տարեկան,v,440300,430,
BH107857,08.07.2019,BATA Դալմա,Женский,45-ից բարձր,v,260200,2426,
BH105978,01.06.2018,BASIC CENTER Կոմիտաս,Женский,,v,151300,28305,25600
BH058278,13.10.2019,BASIC SHOES Երևան Մոլ,Женский,25-ից 45 տարեկան,v,392400,6297,5600
BH109805,09.02.2019,BASIC CENTER Դալմա,Мужской,25-ից 45 տարեկան,v,80600,1787,1400
BH107570,19.01.2018,COOLCLUB Դալմա,Женский,25-ից 45 տարեկան,,285500,3391,5300
BH107281,18.06.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,219300,6692,5500
BH058636,22.07.2019,BATA Դալմա,Мужской,25-ից 45 տարեկան,v,408900,700,700
BH111792,19.01.2018,BASIC CENTER Կոմիտաս,Женский,25-ից 45 տարեկան,v,126100,2141,1200
BH060333,10.07.2019,BASIC CENTER Կոմիտաս,Женский,25-ից 45 տարեկան,v,76100,443,
BH111269,28.12.2018,BASIC CENTER Հանրապետության,Мужской,25-ից 45 տարեկան,v,259100,1692,2100
BH059609,10.02.2018,BASIC CENTER Կոմիտաս,Женский,45-ից բարձր,v,365700,11234,10000
BH059205,03.11.2018,BASIC CENTER Ավան,Мужской,25-ից 45 տարեկան,v,,5227,7700
BH110714,13.05.2018,BASIC CENTER Կոմիտաս,Женский,45-ից բարձր,v,419700,12740,
BH112068,19.01.2018,BATA Դալմա,Женский,45-ից բարձր,v,566100,1339,
BH107973,27.06.2019,COOLCLUB Դալմա,Мужской,25-ից 45 տարեկան,v,59500,267,
BH110532,04.08.2019,BATA Դալմա,Женский,18-ից 25 տարեկան,v,593900,10801,8000
BH108209,20.06.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,103100,1062,1000
BH110694,18.07.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,863533,5436,4700
BH060643,27.07.2019,BASIC CENTER Կոմիտաս,Женский,18-ից 25 տարեկան,v,,,
BH111083,16.12.2019,BASIC CENTER Հանրապետության,Мужской,25-ից 45 տարեկան,v,122700,477,
BH104404,19.09.2019,BASIC CENTER Ավան,Женский,18-ից 25 տարեկան,v,313000,2921,3200
BH060695,20.06.2018,COOLCLUB Երևան Մոլլ,Женский,25-ից 45 տարեկան,v,131400,1208,
BH110409,13.08.2018,COOLCLUB Դալմա,Женский,25-ից 45 տարեկան,v,47300,983,
BH059031,24.08.2018,COOLCLUB Երևան Մոլլ,Женский,25-ից 45 տարեկան,v,240900,4153,100
BH112270,23.07.2019,BASIC CENTER Հանրապետության,Женский,,v,244600,654,
BH111753,19.01.2018,BASIC CENTER Կոմիտաս,Женский,45-ից բարձր,v,253400,2939,2900
BH059556,02.03.2018,BASIC CENTER Կոմիտաս,Мужской,25-ից 45 տարեկան,v,161800,2382,1900
BH109738,09.08.2019,COOLCLUB Երևան Մոլլ,Женский,25-ից 45 տարեկան,v,21000,157,
BH104894,18.09.2018,BASIC SHOES Երևան Մոլ,Женский,25-ից 45 տարեկան,v,1025400,11095,11700
BH109114,17.02.2018,BASIC CENTER Դալմա,Мужской,25-ից 45 տարեկան,v,81000,2098,
BH112244,15.08.2019,BASIC CENTER Հանրապետության,Женский,25-ից 45 տարեկան,v,33100,300,
BH105940,19.01.2018,BASIC CENTER Հանրապետության,Женский,,v,833067,98214,108700
BH105981,24.07.2018,BASIC CENTER Մետրոնոմ,Женский,,v,45300,7780,5400
BH105983,23.07.2018,BASIC CENTER Ավան,Женский,,v,36200,7710,7700
BH105073,21.01.2018,BASIC CENTER Հանրապետության,Женский,45-ից բարձր,v,205300,2094,
BH105942,11.02.2018,BASIC CENTER Ավան,Женский,,v,548800,121523,117000
BH106441,09.02.2018,BATA Դալմա,Женский,25-ից 45 տարեկան,v,65300,1216,
BH106574,16.06.2020,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,229200,866,
BH105955,12.03.2018,BASIC CENTER Ավան,Мужской,,v,982233,124450,124400
BH061703,07.04.2019,BASIC SHOES Երևան Մոլ,Женский,25-ից 45 տարեկան,v,468900,15245,15800
BH061745,12.12.2018,BASIC SHOES Երևան Մոլ,Женский,25-ից 45 տարեկան,v,228400,,
BH105612,18.10.2018,BASIC CENTER Ավան,Женский,25-ից 45 տարեկան,v,351100,9768,3600
BH063132,21.06.2018,BASIC SHOES Երևան Մոլ,Женский,25-ից 45 տարեկան,v,614900,8245,7600
BH061669,11.01.2019,COOLCLUB Երևան Մոլլ,Женский,25-ից 45 տարեկան,v,15900,,
BH109368,07.09.2019,COOLCLUB Երևան Մոլլ,Женский,25-ից 45 տարեկան,v,86900,1704,
BH062790,18.10.2019,BASIC SHOES Երևան Մոլ,Женский,25-ից 45 տարեկան,v,1769100,24175,22000
BH106042,29.04.2018,BASIC CENTER Դալմա,Женский,,v,,16669,16200
BH112836,29.12.2019,COOLCLUB Դալմա,Женский,25-ից 45 տարեկան,v,93500,276,900
BH062903,16.10.2018,BASIC CENTER Հանրապետության,Женский,,v,,9144,8100
BH060038,27.11.2019,COOLCLUB Երևան Մոլլ,Женский,25-ից 45 տարեկան,v,284500,1881,3200
BH110576,23.01.2018,BATA Դալմա,Женский,45-ից բարձր,v,54500,177,
BH105979,28.07.2018,BASIC CENTER Կոմիտաս,Женский,,v,325400,59080,53600
BH107157,23.12.2019,BASIC CENTER Հանրապետության,Женский,,v,205300,1322,800
BH109792,08.09.2019,BASIC CENTER Հանրապետության,Мужской,25-ից 45 տարեկան,v,1628900,,
BH112750,08.09.2018,BASIC CENTER Կոմիտաս,Женский,25-ից 45 տարեկան,v,223300,1328,2400
BH107607,25.12.2018,BATA Պողոտա,Женский,25-ից 45 տարեկան,v,,36703,38400
BH105998,27.07.2018,BASIC CENTER Մետրոնոմ,Женский,,v,723767,58470,58900
BH114705,16.12.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,1149500,10113,1600
BH111818,19.01.2018,BASIC SHOES Երևան Մոլ,Женский,45-ից բարձր,v,148500,1745,1000
BH110872,19.01.2018,COOLCLUB Երևան Մոլլ,Женский,45-ից բարձր,v,,147,
BH108892,17.04.2019,COOLCLUB Դալմա,Женский,18-ից 25 տարեկան,v,23200,957,
BH063241,18.02.2018,COOLCLUB Երևան Մոլլ,Женский,25-ից 45 տարեկան,v,198900,775,
BH111490,19.01.2018,BASIC CENTER Ավան,Женский,25-ից 45 տարեկան,v,150300,4057,3500
BH111897,26.10.2018,BASIC SHOES Երևան Մոլ,Женский,25-ից 45 տարեկան,v,110500,1093,1000
BH108434,03.09.2018,BASIC CENTER Հանրապետության,Женский,18-ից 25 տարեկան,v,143300,1867,1000
BH113092,25.05.2019,COOLCLUB Դալմա,Женский,25-ից 45 տարեկան,v,361800,5840,2800
BH108952,19.01.2018,BATA Դալմա,Женский,25-ից 45 տարեկան,v,81100,200,
BH108978,19.01.2018,BATA Դալմա,Женский,25-ից 45 տարեկան,v,97700,1574,
BH110990,31.10.2019,BASIC SHOES Երևան Մոլ,Мужской,25-ից 45 տարեկան,v,1187700,6852,11000
BH108951,22.05.2018,BATA Դալմա,Мужской,25-ից 45 տարեկան,v,627800,1407,4300
BH108691,15.10.2019,BASIC CENTER Կոմիտաս,Женский,25-ից 45 տարեկան,v,401800,849,1500
BH113711,08.08.2018,COOLCLUB Երևան Մոլլ,Женский,25-ից 45 տարեկան,v,76700,2191,2100
BH110438,26.09.2018,COOLCLUB Դալմա,Женский,25-ից 45 տարեկան,v,,20616,22200
BH110649,12.02.2018,BASIC CENTER Դալմա,Мужской,25-ից 45 տարեկան,v,65200,725,1000
BH109528,10.06.2018,BASIC CENTER Կոմիտաս,Женский,45-ից բարձր,v,31800,237,
BH108461,29.12.2019,BASIC CENTER Հանրապետության,Женский,25-ից 45 տարեկան,v,30600,367,10000
BH115579,19.10.2018,BASIC CENTER Դալմա,Мужской,,v,18900,567,
BH110223,05.02.2018,BASIC CENTER Հանրապետության,Женский,25-ից 45 տարեկան,v,28100,,
BH109618,01.04.2018,BASIC CENTER Ավան,Женский,25-ից 45 տարեկան,v,689367,2435,1900
BH114988,13.09.2018,BASIC CENTER Կոմիտաս,Женский,18-ից 25 տարեկան,v,105200,928,900
BH106036,06.02.2018,BASIC CENTER Կոմիտաս,Женский,45-ից բարձր,v,132900,10000,10000
BH113780,06.06.2018,COOLCLUB Երևան Մոլլ,Женский,25-ից 45 տարեկան,v,57000,514,
BH108662,26.05.2019,BASIC CENTER Կոմիտաս,Женский,,v,102500,257,
BH109900,15.07.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,300000,1286,1600
BH110520,29.04.2019,BATA Դալմա,Женский,25-ից 45 տարեկան,v,389200,9320,
BH110083,28.01.2019,BASIC SHOES Երևան Մոլ,Женский,25-ից 45 տարեկան,v,706700,27266,28800
BH110477,07.10.2018,COOLCLUB Դալմա,Мужской,45-ից բարձր,v,402400,10204,
BH116128,21.02.2019,BATA Դալմա,Женский,25-ից 45 տարեկան,v,38000,500,900
